"npx" "npy" "npz" "procs" "threads" "n" "Nx" "Ny" "Nz" "scal" "axpby" "pointwiseDot" "dot" "dx" "dy" "dz" "arakawa" "iterations" "cg" "ds" "exblas_d" "exblas_i"
1 2 1 2 24 4 128 128 1 4.32968e-06 8.67128e-06 8.83102e-06 4.11701e-05 0.00012074 0.00012763 0.0 0.000436342 653 0.000654675 0.0 4.98175e-11 4452761715712482833
1 2 1 2 24 4 136 136 1 4.31061e-06 6.59943e-06 8.78096e-06 3.96013e-05 5.64909e-05 0.00011281 0.0 0.000457189 703 0.000663536 0.0 3.63953e-11 4450684739341290809
1 2 1 2 24 4 256 256 1 6.68049e-06 4.74906e-05 6.74796e-05 0.00011236 0.000350952 0.000321338 0.0 0.00143221 1000 0.00176649 0.0 3.70467e-05 4540591951049249471
1 2 1 2 24 4 272 272 1 7.0405e-06 1.266e-05 4.09818e-05 0.000135639 0.00018446 0.00026942 0.0 0.00152472 1000 0.00173099 0.0 4.69551e-05 4542054167350120628
1 2 1 2 24 4 384 384 1 1.11985e-05 0.00010385 0.00019357 0.00021033 0.00076359 0.00066565 0.0 0.0035913 1000 0.00436359 0.0 0.000113288 4547987630179042405
1 2 1 2 24 4 408 408 1 1.24598e-05 2.62904e-05 0.000204589 0.000245171 0.000412128 0.00052232 0.0 0.00395364 1000 0.00453619 0.0 0.000131139 4548970202029858711
1 2 1 2 24 4 512 512 1 4.25696e-05 0.00021311 0.000638831 0.000371091 0.00137286 0.00110397 0.0 0.0075796 1000 0.00946828 0.0 0.000239437 4552965681159950414
1 2 1 2 24 4 544 544 1 3.73006e-05 0.000137498 0.000769041 0.000438068 0.000772319 0.000902891 0.0 0.00794042 1000 0.00874582 0.0 0.000284177 4553877755419328551
1 2 1 2 24 4 768 768 1 0.000134549 0.000655179 0.00191137 0.00087728 0.00165274 0.00234692 0.0 0.0201611 1000 0.0204163 0.0 0.000699812 4559593851205179784
1 2 1 2 24 4 816 816 1 0.000172331 0.000843692 0.00221587 0.000946419 0.00180126 0.00213286 0.0 0.0183282 1000 0.0211505 0.0 0.000795532 4560476707397678430
1 2 1 2 24 4 1024 1024 1 0.000617311 0.00171307 0.00378479 0.00136673 0.00284882 0.00433768 0.0 0.0324692 1000 0.0372127 0.0 0.00116398 4563010750482768481
1 2 1 2 24 4 1088 1088 1 0.000846789 0.00193798 0.00425165 0.00153998 0.00318085 0.00361699 0.0 0.0330083 1000 0.0384457 0.0 0.00125753 4563442166696974034
1 2 1 2 24 4 1536 1536 1 0.00277762 0.00418192 0.00892468 0.00322513 0.00628649 0.00888588 0.0 0.0723205 1000 0.0840978 0.0 0.00169677 4565467776395109802
1 2 1 2 24 4 1632 1632 1 0.00309048 0.00477633 0.0098585 0.00366814 0.00715148 0.00748331 0.0 0.0755758 1000 0.0859884 0.0 0.00175646 4565743053704410955
1 2 1 2 24 4 2048 2048 1 0.0054639 0.00769499 0.0157082 0.00537984 0.0111902 0.0170431 0.0 0.130552 1000 0.152789 0.0 0.00193985 4566588812385248746
1 2 1 2 24 4 2176 2176 1 0.00622977 0.00884843 0.0177895 0.00629602 0.0126794 0.0183806 0.0 0.14568 1000 0.169759 0.0 0.00197952 4566710887227635148
1 2 1 2 24 5 128 128 1 4.45843e-06 7.56025e-06 1.11198e-05 5.03492e-05 0.000168049 0.000167449 0.0 0.00073544 948 0.000998498 0.0 1.05107e-11 4442551461555387823
1 2 1 2 24 5 136 136 1 4.81129e-06 6.5589e-06 9.16958e-06 6.08301e-05 9.04202e-05 0.000172501 0.0 0.00077827 1000 0.00104014 0.0 1.10259e-11 4442870346685336091
1 2 1 2 24 5 256 256 1 8.43048e-06 1.69611e-05 9.01103e-05 0.00020278 0.000326428 0.000466111 0.0 0.00250883 1000 0.0029627 0.0 0.000107707 4547575770316524722
1 2 1 2 24 5 272 272 1 9.27925e-06 1.32585e-05 0.000112491 0.00020617 0.000333281 0.000474401 0.0 0.00289584 1000 0.00332777 0.0 0.000124502 4548725325387661846
1 2 1 2 24 5 384 384 1 1.92308e-05 0.00010288 0.000486269 0.000333819 0.000733891 0.000837801 0.0 0.00701261 1000 0.00749729 0.0 0.000315172 4554449518724167201
1 2 1 2 24 5 408 408 1 2.96712e-05 0.000101669 0.000599589 0.00038908 0.000749872 0.00093755 0.0 0.00786242 1000 0.00850435 0.0 0.000373717 4555529492887986938
1 2 1 2 24 5 512 512 1 8.14104e-05 0.000305259 0.00126501 0.0005563 0.00237154 0.00218235 0.0 0.0142543 1000 0.0160709 0.0 0.000668474 4559304810742199923
1 2 1 2 24 5 544 544 1 6.74987e-05 0.000352759 0.00143755 0.00065618 0.00149531 0.00188082 0.0 0.0140957 1000 0.0158478 0.0 0.00076275 4560174350375195760
1 2 1 2 24 5 768 768 1 0.000330949 0.00149058 0.00319179 0.00120825 0.00300506 0.00355303 0.0 0.0294823 1000 0.0334902 0.0 0.00131213 4563693966459913730
1 2 1 2 24 5 816 816 1 0.00061846 0.00166364 0.00360789 0.00137849 0.00355303 0.00386463 0.0 0.0325797 1000 0.0370061 0.0 0.00139864 4564092913293556792
1 2 1 2 24 5 1024 1024 1 0.00164971 0.00281203 0.00597152 0.00223085 0.00528189 0.00816464 0.0 0.0586937 1000 0.0666468 0.0 0.0016755 4565369690311542913
1 2 1 2 24 5 1088 1088 1 0.00193546 0.00314873 0.00673784 0.00249926 0.00598609 0.006342 0.0 0.0573091 1000 0.0662212 0.0 0.00173683 4565652533750075287
1 2 1 2 24 5 1536 1536 1 0.00444653 0.00681537 0.0138382 0.00501226 0.011831 0.0181849 0.0 0.133347 1000 0.151989 0.0 0.0020019 4566762498385185633
1 2 1 2 24 5 1632 1632 1 0.00527966 0.00780616 0.0157304 0.00566578 0.0133689 0.0142043 0.0 0.128851 1000 0.152509 0.0 0.00203644 4566842126473224257
1 2 1 2 24 5 2048 2048 1 0.00867787 0.012353 0.0246017 0.00878524 0.0210002 0.0374511 0.0 0.246609 1000 0.281643 0.0 0.00214229 4567086203250478409
1 2 1 2 24 5 2176 2176 1 0.0101353 0.0140662 0.0275142 0.00927407 0.0235902 0.0339548 0.0 0.256038 1000 0.303057 0.0 0.00216529 4567139250819916392
