arch axpby_bw axpby_bw_err dot_bw dot_bw_err dxdy2_bw dxdy2_bw_err dxdy3_bw dxdy3_bw_err dxdy4_bw dxdy4_bw_err dxdy5_bw dxdy5_bw_err axpby_lat_shared axpby_lat_shared_err axpby_lat_dist axpby_lat_dist_err dot_lat_shared dot_lat_shared_err dot_lat_dist dot_lat_dist_err dxdy_lat_shared dxdy_lat_shared_err dxdy_lat_dist dxdy_lat_dist_err
i5 29.985114904148116 0.1863790079926625 9.306688827796375 0.037476516682139034 27.786146680674495 2.971168388755312 29.11961860126704 2.843853806682037 25.580247740804456 1.4858345936796076 21.445721907640575 1.9105939178677427 0.0 1.1803476371156274   4.763427314534425 0.23345818088519008   0.0 1.4386406551170299  
gtx1060 157.0471534845991 0.0561792556021371 26.49986710924095 0.09759047691249505 130.63354276279702 0.4039080344677708 111.23005736126804 1.1112832437703515 83.81592518361019 13.829901455366997 69.26377807405017 17.036729760541785 0.0 0.23931437384513474   92.05749591063108 8.697576650998826   0.0 0.8209538288715691  
skl 206.70693015250671 5.871934230988073 192.051890946871 18.305185040575648 181.5606505175 35.38274296762794 161.75229773748845 12.999629868316344 118.05503816312407 18.393484805121876 110.874387483007 8.029905269035662 0.0 0.11429146036437816 0.0 0.2595904255232335 17.278857569348077 2.3192604675964184 37.92908878208808 4.141060081455259 22.69985215225569 2.1061491893184265 28.520527928291536 2.1043927608497097
knl 393.1527130204759 22.188781454217118 141.35807049326482 6.631526894026438 239.0410476571762 17.02246598622725 172.6917582144332 26.80022533558228 126.0440243263037 18.59287533201159 101.34109847832771 14.943196159485455 5.465030106206701 0.2968597045669143 9.156795412936045 0.08543868821818648 54.82687852117563 1.7931942698250323 119.59102438367641 5.138485289135962 9.928085105761408 0.6961488087447006 52.67331106318279 3.7195157853767267
p100 553.3252447752454 0.6949809937647761 346.0784343179468 1.525780314594855 287.5729692960823 2.1371678032446964 237.35079118696893 3.261187447227958 200.29850445614514 1.8122769108944239 165.35552043619043 14.003546165335024 0.23043114650521757 0.13140764401916163 2.4174577876809034 0.05337444279178315 48.15012036572998 0.7145783527523214 48.16490682115734 0.6264751480394961 1.8235568744863686 0.3384294116536306 63.50683135460786 0.7962905049926082
v100 848.3599050697645 0.6703598588564 593.3499173134571 2.1475591531902882 801.9111027254827 16.970522624871155 712.0739595255465 19.235844593640447 649.4377513992017 15.383093707559288 535.4741271461664 48.84674359270221 1.215994417462886 0.05734883511361751 2.300945937764102 0.11272251089388602 33.95278647320338 1.15138563864975 34.731667795510134 0.5606355520498345 3.105105032889801 0.1563643235355245 66.63408442753293 1.221332398564055
