"npx" "npy" "npz" "procs" "threads" "n" "Nx" "Ny" "Nz" "scal" "axpby" "pointwiseDot" "dot" "dx" "dy" "dz" "arakawa" "iterations" "cg" "ds" "exblas_d" "exblas_i"
2 2 1 4 136 3 288 288 128 0.0011078 0.00129511 0.00276295 0.00323946 0.00441391 0.004058 0.00138459 0.0733752 100 0.103357 0.289017 0.00555594 4573055581452616759
2 2 1 4 136 4 34 34 16 1.11294e-05 1.03188e-05 1.513e-05 0.0001385 0.000166461 0.000160549 3.17407e-05 0.00110635 100 0.00143294 0.00568988 0.000207601 4551791141447346664
2 2 1 4 136 4 34 34 32 1.0891e-05 1.24788e-05 1.98388e-05 0.000139401 0.00026391 0.000218971 5.04994e-05 0.00170099 100 0.00211281 0.0112236 0.000207605 4551791306223136386
2 2 1 4 136 4 34 34 64 1.31416e-05 1.40905e-05 2.82192e-05 0.00016139 0.000460851 0.0004039 2.32911e-05 0.00291702 100 0.00317843 0.0222852 0.000207586 4551790599670608679
2 2 1 4 136 4 34 34 128 0.000879071 2.41709e-05 6.953e-05 0.00024296 0.000682371 0.000449741 2.89297e-05 0.0042744 100 0.0049397 0.04464 0.000207609 4551791458354389305
2 2 1 4 136 4 36 36 16 1.09982e-05 1.07384e-05 1.6551e-05 0.00016619 0.00017132 0.000168011 2.93112e-05 0.00123201 100 0.00142015 0.00583691 0.00024169 4553048813347651940
2 2 1 4 136 4 36 36 32 1.0941e-05 1.28698e-05 2.00891e-05 0.000142679 0.00026551 0.000241132 4.6351e-05 0.00173874 100 0.00214455 0.0112451 0.000241716 4553049766416595421
2 2 1 4 136 4 36 36 64 1.35922e-05 1.49512e-05 3.43108e-05 0.000163751 0.000440209 0.00041187 2.51102e-05 0.00299237 100 0.00319383 0.0227439 0.000241689 4553048757869397392
2 2 1 4 136 4 36 36 128 1.65701e-05 1.95217e-05 5.96595e-05 0.000201621 0.0005375 0.000436981 3.99399e-05 0.00379349 100 0.00452515 0.0455386 0.000241702 4553049264233108283
2 2 1 4 136 4 68 68 16 1.36495e-05 1.46294e-05 2.89106e-05 0.00016588 0.000284121 0.000253861 3.19314e-05 0.00188133 100 0.00239937 0.0109157 0.00128134 4563551972557107285
2 2 1 4 136 4 68 68 32 1.59311e-05 2.69198e-05 5.36203e-05 0.000201828 0.00045069 0.000445709 5.126e-05 0.00327144 100 0.00375261 0.0212439 0.0012817 4563553619136072885
2 2 1 4 136 4 68 68 64 2.06494e-05 2.58303e-05 0.00014045 0.000294359 0.000627289 0.00054003 8.63099e-05 0.00443739 100 0.00564849 0.0404485 0.00128156 4563552957499783288
2 2 1 4 136 4 68 68 128 3.64804e-05 9.16386e-05 0.000317452 0.000654352 0.00118337 0.0012018 0.000299101 0.00713472 100 0.00868285 0.0785602 0.00128157 4563553033953594544
2 2 1 4 136 4 72 72 16 1.34015e-05 1.46794e-05 3.07202e-05 0.000161932 0.000305331 0.000274589 3.0551e-05 0.00211105 100 0.00277012 0.0121003 0.00149635 4564543524743236783
2 2 1 4 136 4 72 72 32 1.6098e-05 1.80387e-05 5.59711e-05 0.000204599 0.000516028 0.00045712 5.13792e-05 0.00350722 100 0.00414076 0.0235991 0.00149645 4564543967432712882
2 2 1 4 136 4 72 72 64 2.18081e-05 3.06177e-05 0.000164011 0.000338461 0.000748909 0.00063278 9.76896e-05 0.00491741 100 0.00615859 0.0440603 0.00149657 4564544553475043391
2 2 1 4 136 4 72 72 128 3.36194e-05 0.000120201 0.000344219 0.000600312 0.0013065 0.00112152 0.00030194 0.00793567 100 0.00949335 0.085508 0.00149649 4564544153571420194
2 2 1 4 136 4 136 136 16 2.05898e-05 2.54512e-05 0.000143108 0.000315619 0.00057693 0.00065747 4.37903e-05 0.00438018 100 0.0051871 0.0272435 0.00452325 4571864979696948452
2 2 1 4 136 4 136 136 32 3.16286e-05 9.63497e-05 0.000312331 0.000566149 0.00091522 0.00104258 0.000145628 0.00661379 100 0.00822859 0.0513117 0.00452327 4571864998791410195
2 2 1 4 136 4 136 136 64 0.00012852 0.000269639 0.00056869 0.00087636 0.00152139 0.00152878 0.000309701 0.0108507 100 0.013593 0.103073 0.00452328 4571865013762431535
2 2 1 4 136 4 136 136 128 0.000427189 0.00053349 0.00112856 0.00148667 0.00259618 0.00270125 0.00062763 0.045303 100 0.0577425 0.190014 0.00452332 4571865051245474449
2 2 1 4 136 4 144 144 16 2.18201e-05 2.82097e-05 0.000168898 0.0003369 0.000631938 0.000674801 5.23591e-05 0.00487097 100 0.00577564 0.0291159 0.00475599 4572133305111150511
2 2 1 4 136 4 144 144 32 3.34811e-05 0.000125589 0.000336161 0.000615191 0.00099215 0.00108201 0.000162499 0.00701767 100 0.00895919 0.055876 0.00475596 4572133265156988356
2 2 1 4 136 4 144 144 64 0.000174551 0.000302598 0.000626099 0.000991411 0.00160917 0.00164512 0.000339839 0.0115216 100 0.0140504 0.104508 0.00475601 4572133333726594926
2 2 1 4 136 4 144 144 128 0.000474379 0.000584021 0.0012463 0.00158114 0.00283292 0.00299986 0.000678239 0.0561611 100 0.071885 0.204087 0.00475599 4572133310295752085
2 2 1 4 136 4 272 272 16 0.000120442 0.00026732 0.000570672 0.00091763 0.00124856 0.00124118 0.000288029 0.00898807 100 0.0115258 0.0748527 0.00644593 4574081676859286837
2 2 1 4 136 4 272 272 32 0.000413082 0.00051657 0.00111546 0.00148455 0.00198154 0.00216204 0.0005831 0.0156764 100 0.0202948 0.13773 0.00644595 4574081699715484211
2 2 1 4 136 4 272 272 64 0.000903311 0.00111494 0.00230341 0.00331733 0.00393035 0.00393116 0.00120141 0.0290055 100 0.08381 0.265256 0.00644595 4574081697461252670
2 2 1 4 136 4 272 272 128 0.00174858 0.00212002 0.00450181 0.00474382 0.00674549 0.00728536 0.00246133 0.0545647 100 0.199208 0.516017 0.00644595 4574081695740520351
2 2 1 4 136 4 288 288 16 0.00017621 0.000318861 0.000630739 0.000981722 0.00133943 0.00138143 0.000331669 0.0101515 100 0.0127544 0.0808189 0.00653581 4574185295204262834
2 2 1 4 136 4 288 288 32 0.00048007 0.000573821 0.0012609 0.00161545 0.00231198 0.0023715 0.000637231 0.0176116 100 0.0221431 0.155264 0.0065358 4574185291374624068
2 2 1 4 136 4 288 288 64 0.000997212 0.00112593 0.00249086 0.00301691 0.00407195 0.0042589 0.00120724 0.0327801 100 0.0928423 0.290977 0.00653582 4574185304830176806
2 2 1 4 136 4 288 288 128 0.00195344 0.00228764 0.00499831 0.00523595 0.00785341 0.00798873 0.00237669 0.0632714 100 0.241679 0.57242 0.00653581 4574185300117856740
